manifest_path,dataset,dataset_source,dataset_folder,run_variant,created_at,prompt_version,prompt_language,prompt_docx_recorded,prompt_docx_resolved,prompt_docx_sha256,source_mode,model_n,models,conditions,is_primary_run
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_040414\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T04:04:14,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"[""15"", ""16""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_041658\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T04:16:58,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,3,"qwen3.7-max,glm-5.2,deepseek-v4-pro","""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_051956\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T05:19:56,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,2,"MiniMax-M2.5,kimi-k2.6","[""1"", ""3"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""19"", ""21"", ""22"", ""23"", ""24""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_052112\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T05:21:12,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,deepseek-v4-pro,"[""15""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_052422\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T05:24:22,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,2,"MiniMax-M2.5,kimi-k2.6","[""3"", ""8"", ""10"", ""14"", ""15"", ""17"", ""22""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_052728\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T05:27:28,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,2,"MiniMax-M2.5,kimi-k2.6","""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_093808\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T09:38:08,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"[""15"", ""21"", ""22"", ""23"", ""24""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_093823\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T09:38:23,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,MiniMax-M2.5,"[""2"", ""3"", ""8"", ""14"", ""15"", ""19"", ""21"", ""22""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_093837\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T09:38:37,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,kimi-k2.6,"[""2"", ""4"", ""6"", ""8"", ""10"", ""12"", ""14"", ""16"", ""18"", ""19"", ""20"", ""22"", ""24""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_093851\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T09:38:51,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,kimi-k2.6,"[""4"", ""6"", ""8"", ""9"", ""17"", ""21""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_093949\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T09:39:49,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_103151\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T10:31:51,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,glm-5.2,"[""21""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_110430\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T11:04:30,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""22"", ""24""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_111827\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T11:18:27,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""23""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_113737\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T11:37:37,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""21""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_124755\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T12:47:55,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""4"", ""5"", ""7"", ""11"", ""17"", ""19"", ""20""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_125343\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T12:53:43,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""17"", ""19"", ""20""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_125510\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T12:55:10,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_131921\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T13:19:21,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""22"", ""24""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_134155\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T13:41:55,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""23""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_141257\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T14:12:57,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""21""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_144014\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T14:40:14,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""20""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_174746\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T17:47:46,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,2,"MiniMax-M2.5,kimi-k2.6","[""8"", ""9"", ""14"", ""22""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_175110\manifest.json,HAMD-17,PDCH100,,,2026-06-28T17:51:10,正式使用提示词-2026-06-25,zh,E:\数据库\代码\Data\PDCH\实验\正式使用提示词.docx,E:\数据库\代码\Data\PDCH\实验\正式使用提示词.docx,68b20fdf093a3a060f6e2ac12b18cc5d5b90763d966880aec5a49832686a5436,docx_override,1,glm-5.2,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_175311\manifest.json,PHQ-8,PHQ8_DAIC_WOZ_external_validation,,,2026-06-28T17:53:11,PHQ8-English-24-conditions,en,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ行号数据\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,a3d2fe4ca94b1d34ac771141b2527191cdd82dc0352b04d760df54846b843f05,docx_override,1,mimo-v2.5-pro,"[""3"", ""11"", ""17"", ""19"", ""20""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_175421\manifest.json,HAMD-17,PDCH100,,,2026-06-28T17:54:21,正式使用提示词-2026-06-25,zh,,,,code_builder,1,glm-5.2,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_181328\manifest.json,HAMD-17,PDCH100,,,2026-06-28T18:13:28,正式使用提示词-2026-06-25,zh,,,,code_builder,1,qwen3.7-max,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_181924\manifest.json,HAMD-17,PDCH100,,,2026-06-28T18:19:24,正式使用提示词-2026-06-25,zh,,,,code_builder,1,deepseek-v4-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_182318\manifest.json,HAMD-17,PDCH100,,,2026-06-28T18:23:18,正式使用提示词-2026-06-25,zh,,,,code_builder,1,MiniMax-M2.5,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_182605\manifest.json,HAMD-17,PDCH100,,,2026-06-28T18:26:05,正式使用提示词-2026-06-25,zh,,,,code_builder,1,kimi-k2.6,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_182844\manifest.json,HAMD-17,PDCH100,,,2026-06-28T18:28:44,正式使用提示词-2026-06-25,zh,,,,code_builder,1,mimo-v2.5-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260628_225747\manifest.json,HAMD-17,PDCH100,,,2026-06-28T22:57:47,正式使用提示词-2026-06-25,zh,,,,code_builder,1,mimo-v2.5-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260629_063814\manifest.json,HAMD-17,PDCH100,,,2026-06-29T06:38:14,正式使用提示词-2026-06-25,zh,,,,code_builder,1,mimo-v2.5-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260629_072415\manifest.json,HAMD-17,PDCH100,,,2026-06-29T07:24:15,正式使用提示词-2026-06-25,zh,,,,code_builder,1,mimo-v2.5-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260629_081037\manifest.json,HAMD-17,PDCH100,,,2026-06-29T08:10:37,正式使用提示词-2026-06-25,zh,,,,code_builder,1,mimo-v2.5-pro,"""ALL""",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260630_003040\manifest.json,HAMD-17,PDCH,,,2026-06-30T00:30:40,正式使用提示词-2026-06-25,zh,,,,code_builder,1,glm-5.2,"[""2"", ""5"", ""7""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260630_003401\manifest.json,HAMD-17,PDCH,,,2026-06-30T00:34:01,正式使用提示词-2026-06-25,zh,,,,code_builder,1,qwen3.7-max,"[""6"", ""8""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260630_003450\manifest.json,HAMD-17,PDCH,,,2026-06-30T00:34:50,正式使用提示词-2026-06-25,zh,,,,code_builder,1,deepseek-v4-pro,"[""2"", ""5"", ""7""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260630_003558\manifest.json,HAMD-17,PDCH,,,2026-06-30T00:35:58,正式使用提示词-2026-06-25,zh,,,,code_builder,1,kimi-k2.6,"[""2"", ""3"", ""4"", ""6"", ""8"", ""10"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24""]",yes
E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\.codex_audit\high_concurrency_repair_20260630_003657\manifest.json,HAMD-17,PDCH,,,2026-06-30T00:36:57,正式使用提示词-2026-06-25,zh,,,,code_builder,1,MiniMax-M2.5,"[""4"", ""8"", ""12"", ""16"", ""21"", ""22""]",yes
